"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"519158",6,75,1,NA,NA,2,21,1,32,999,2408,NA,NA,1,NA,1
"1136905",18,41,4,1,NA,2,19,1,210,999,NA,NA,NA,2,4700,1
"454486",6,46,1,1,NA,2,21,2,51,88,6109,NA,NA,1,4620,1
"1550827",27,41,1,7,NA,2,21,2,924,999,6204,NA,NA,1,1107,1
"234566",6,14,1,NA,NA,2,10,1,939,999,NA,NA,NA,1,NA,1
"1258201",22,23,1,1,NA,2,19,2,935,999,NA,NA,NA,1,3600,1
"377980",6,61,1,2,NA,2,20,2,32,91,NA,NA,NA,1,4350,1
"995767",17,20,1,6,1,1,19,1,750,999,NA,NA,724,1,5700,6
"1405104",25,8,1,NA,NA,2,5,2,261,20,NA,NA,NA,1,NA,1
"969588",17,12,1,NA,NA,2,9,2,32,50,NA,NA,NA,1,NA,1
"1271936",22,15,1,NA,NA,2,12,1,937,999,NA,NA,NA,1,NA,1
"941195",16,11,1,NA,NA,2,9,2,939,999,NA,NA,NA,1,NA,1
"1408717",25,9,1,NA,NA,2,6,1,999,999,NA,NA,NA,1,NA,1
"1365471",25,62,1,1,NA,2,18,2,84,88,NA,NA,NA,1,7750,1
"274203",6,71,4,NA,4,1,1,1,210,999,NA,NA,625,2,NA,1
"1266005",22,30,5,1,3,1,9,1,210,999,NA,NA,625,2,8140,1
"1323773",24,56,1,7,NA,2,14,1,939,999,NA,NA,NA,1,7150,1
"1200294",21,45,1,1,NA,2,21,2,21,50,6107,NA,NA,1,3255,1
"1262924",22,84,1,NA,NA,2,16,2,89,999,NA,NA,NA,1,NA,1
"307625",6,52,4,1,NA,2,19,1,97,999,NA,NA,NA,2,4700,1
"608269",9,9,1,NA,NA,2,6,1,615,999,NA,NA,NA,1,NA,6
"577957",9,28,1,4,NA,2,21,1,935,999,5301,NA,NA,1,3800,1
"38005",1,58,1,NA,NA,2,19,1,32,999,NA,NA,NA,1,NA,1
"1139418",19,78,1,2,NA,2,21,2,999,999,2304,NA,NA,1,2040,1
"1585108",28,55,1,1,NA,2,15,1,920,50,NA,NA,NA,1,5000,1
"678684",12,25,1,1,1,1,21,2,271,999,3202,NA,625,1,2145,1
"1296233",23,48,1,1,NA,2,18,1,939,51,NA,NA,NA,1,4000,1
"435775",6,81,1,NA,NA,2,22,1,50,999,3301,NA,NA,1,NA,1
"893069",13,13,1,NA,NA,2,10,1,88,999,NA,NA,NA,1,NA,1
"1452127",26,37,1,7,NA,2,16,2,32,26,NA,NA,NA,1,4510,1
"1350697",24,41,1,1,NA,2,16,2,999,999,NA,NA,NA,1,5800,1
"519742",6,36,1,1,NA,2,21,2,32,999,5200,NA,NA,1,4110,1
"147171",5,50,1,1,NA,2,16,1,32,999,NA,NA,NA,1,7330,1
"1329618",24,12,1,NA,1,1,8,2,999,999,NA,NA,778,1,NA,1
"1088694",18,19,1,1,NA,2,16,1,32,999,NA,NA,NA,1,4760,1
"1481906",26,74,1,NA,NA,2,16,1,902,999,NA,NA,NA,1,NA,2
"707426",12,16,1,NA,NA,2,12,2,999,999,NA,NA,NA,1,NA,1
"1230613",21,63,1,NA,NA,2,16,2,924,999,NA,NA,NA,1,NA,1
"763480",12,14,1,NA,NA,2,11,1,996,999,NA,NA,NA,1,NA,1
"1470524",26,7,1,NA,NA,2,4,2,114,32,NA,NA,NA,1,NA,1
"873522",13,50,1,1,NA,2,22,2,939,999,3600,6107,NA,1,3258,1
"171586",6,76,4,NA,1,1,21,2,720,999,6201,NA,742,2,NA,6
"85109",4,71,1,6,NA,2,16,1,50,999,NA,NA,NA,1,6230,1
"854986",13,31,1,3,NA,2,21,2,924,999,5507,NA,NA,1,5700,1
"1412540",25,76,1,NA,NA,2,18,2,22,84,NA,NA,NA,1,NA,1
"120866",4,20,1,1,NA,2,19,1,50,999,NA,NA,NA,1,9620,1
"1086037",18,50,1,1,NA,2,16,2,50,999,NA,NA,NA,1,4220,1
"1338263",24,23,1,1,NA,2,19,1,999,999,NA,NA,NA,1,8810,1
"751126",12,73,4,1,1,1,1,2,322,335,NA,NA,622,2,4610,2
"962263",17,46,1,NA,NA,2,21,2,50,32,3302,NA,NA,1,NA,1
"1024002",17,64,1,NA,NA,2,17,1,900,999,NA,NA,NA,1,NA,2
